power_roi,power_x,power_y,power_z,matched_region_value,matched_region_name,matched_region_x,matched_region_y,matched_region_z,distance_mm
187,-41,6,33,2301.0,Region_2301.0,-48.79576107899808,11.49132947976878,17.801541425818883,17.942177495702648
188,-42,38,21,2311.0,Region_2311.0,-45.890075128509295,28.666666666666657,12.582839066824832,13.156458254086779
189,38,43,15,2312.0,Region_2312.0,50.06136680613668,28.901906090190607,12.817294281729431,18.681462078074926
190,49,-42,45,6202.0,Region_6202.0,46.291449814126395,-47.58810408921933,48.19182156133829,6.982182774804001
191,-28,-58,48,6101.0,Region_6101.0,-23.713317191283295,-60.807748184019374,57.657142857142844,10.932497771812098
192,44,-53,47,6202.0,Region_6202.0,46.291449814126395,-47.58810408921933,48.19182156133829,5.996648917008172
193,32,14,56,2102.0,Region_2102.0,21.60305719921105,29.91025641025641,42.50443786982248,23.310145341727576
194,37,-65,40,6222.0,Region_6222.0,45.22831050228311,-61.23858447488584,37.31506849315069,9.437277026294419
195,-42,-55,45,6201.0,Region_6201.0,-43.10666121781773,-47.01920719248059,45.42296689824275,8.068249741089105
196,40,18,40,2202.0,Region_2202.0,37.391849529780565,31.750783699059554,32.81426332288402,15.73281007342546
197,-34,55,4,2211.0,Region_2211.0,-30.88513513513513,49.1418918918919,-10.986486486486484,16.389465852867
198,-42,45,-2,2211.0,Region_2211.0,-30.88513513513513,49.1418918918919,-10.986486486486484,14.881277793930588
199,33,-53,44,6202.0,Region_6202.0,46.291449814126395,-47.58810408921933,48.19182156133829,14.950673012030785
200,43,49,-2,2212.0,Region_2212.0,32.89458128078818,51.27487684729064,-12.141871921182265,14.496624373508507
201,-42,25,30,2201.0,Region_2201.0,-33.7589965042155,31.489204194941408,34.13078346699568,11.273299506017851
202,-3,26,44,2101.0,Region_2101.0,-18.772992497916093,33.48985829397054,40.95415393164768,17.724628285952118
203,11,-39,50,6402.0,Region_6402.0,7.126794258373209,-32.942583732057415,66.79186602870814,18.266383859050723
204,55,-45,37,6212.0,Region_6212.0,57.262411347517734,-32.817629179331306,33.13475177304964,12.9795534504697
205,42,0,47,2002.0,Region_2002.0,41.100857734398105,-9.549837326234837,50.80981958000592,10.32097742481478
206,31,33,26,2202.0,Region_2202.0,37.391849529780565,31.750783699059554,32.81426332288402,9.42605253600327
207,48,22,10,2312.0,Region_2312.0,50.06136680613668,28.901906090190607,12.817294281729431,7.734512774384544
208,-35,20,0,3001.0,Region_3001.0,-35.410118406889126,5.440258342303565,2.1722282023681316,14.726603464807956
209,36,22,3,3002.0,Region_3002.0,38.722033898305085,5.020338983050834,0.8135593220338961,17.334903508017863
210,37,32,-2,2322.0,Region_2322.0,40.9103690685413,30.99472759226714,-13.258347978910372,11.960433022269253
211,34,16,-8,3002.0,Region_3002.0,38.722033898305085,5.020338983050834,0.8135593220338961,14.850231920979082
212,-11,26,25,4001.0,Region_4001.0,-4.364285714285714,34.195714285714274,12.535714285714292,16.326691492829784
213,-1,15,44,2401.0,Region_2401.0,-5.690731252911036,3.550069864927792,60.06427573358175,20.277199378356336
214,-28,52,21,2601.0,Region_2601.0,-5.1737967914438485,47.887032085561486,29.63636363636364,24.749521911402734
